Rank,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Projected Salary (starting),Difference,Score (projected = 0.39),Percent difference,Projected Salary (mid-career),Difference,Percent difference,Score (projected = 0.43),Change in % difference
1,Princeton University,Ivy League,"$66,500","$131,000",69997,"-$3,497",0.25,-5.00%,137082,"-$6,082",-4.44%,0.30,0.56%
2,Massachusetts Institute of Technology (MIT),Engineering,"$72,200","$126,000",66533.34354,"$5,667",0.60,8.52%,129296.5709,"-$3,297",-2.55%,0.36,-11.07%
3,Stanford University,Engineering,"$70,400","$129,000",64507.23439,"$5,893",0.60,9.14%,124742.3868,"$4,258",3.41%,0.53,-5.72%
3,Yale University,Ivy League,"$59,100","$126,000",64507.23439,"-$5,407",0.18,-8.38%,124742.3868,"$1,258",1.01%,0.46,9.39%
3,Harvard University,Ivy League,"$63,400","$124,000",64507.23439,"-$1,107",0.34,-1.72%,124742.3868,-$742,-0.60%,0.42,1.12%
6,University Of Chicago,Private,"$53,400","$113,000",61043.57793,"-$7,644",0.10,-12.52%,116956.9576,"-$3,957",-3.38%,0.34,9.14%
7,University of Pennsylvania,Ivy League,"$60,900","$120,000",60273.28699,$627,0.41,1.04%,115225.5372,"$4,774",4.14%,0.54,3.10%
9,California Institute of Technology (CIT),Engineering,"$75,500","$123,000",59017.46879,"$16,483",1.00,27.93%,112402.7735,"$10,597",9.43%,0.68,-18.50%
10,Duke University,Private,"$58,900","$106,000",58490.98229,$409,0.40,0.70%,111219.3642,"-$5,219",-4.69%,0.32,-5.39%
10,Northwestern University,Private,"$52,700","$95,900",58490.98229,"-$5,791",0.17,-9.90%,111219.3642,"-$15,319",-13.77%,0.09,-3.87%
12,Dartmouth College,Ivy League,"$58,000","$134,000",57579.92147,$420,0.40,0.73%,109171.5285,"$24,828",22.74%,1.00,22.01%
13,Vanderbilt University,Private,"$51,200","$104,000",57179.94806,"-$5,980",0.16,-10.46%,108272.4888,"-$4,272",-3.95%,0.34,6.51%
13,Brown University,Ivy League,"$56,200","$109,000",57179.94806,-$980,0.35,-1.71%,108272.4888,$728,0.67%,0.45,2.39%
15,Rice University,Private,"$64,000","$110,000",56464.87315,"$7,535",0.67,13.34%,106665.1801,"$3,335",3.13%,0.51,-10.22%
